pair_pretty,phi_JW,log_Bayes,okay_JW
PN & VO,0.64,19.25,1
NG & PN,0.55,12.07,1
VO & VS,0.49,15.82,1
NA & NNum,0.47,10.93,1
PN & VS,0.45,12.03,1
NG & VS,0.45,14.12,1
NG & VO,0.41,8.85,1
ND & NNum,0.38,9.98,1
VO & NRc,0.38,8.15,1
NA & NRc,0.37,7.43,1
PN & NRc,0.28,3.83,1
NNum & NRc,0.28,4.07,1
NA & ND,0.27,4.72,1
NG & NRc,0.24,2.64,0
NRc & VS,0.19,1.93,0
ND & NRc,0.17,0.55,0
NG & ND,0.06,-1.17,0
NG & NNum,0.05,-1.32,0
ND & VS,0,-1.64,0
ND & VO,-0.01,-1.56,0
PN & ND,-0.01,-1.52,0
NA & VS,-0.09,-0.51,0
NA & NG,-0.12,-0.03,0
PN & NNum,-0.12,-0.43,0
NA & VO,-0.17,1.6,0
NNum & VO,-0.19,2.01,0
NNum & VS,-0.2,2.47,0
NA & PN,-0.21,3.17,0
