glot_fam,nrow
Austronesian,280
Atlantic-Congo,270
Sino-Tibetan,126
Indo-European,117
Afro-Asiatic,108
Nuclear_Trans_New_Guinea,41
Austroasiatic,39
Mayan,39
Nakh-Daghestanian,32
Central_Sudanic,31
Pama-Nyungan,31
Uto-Aztecan,28
Ijoid,24
Ainu,22
Tai-Kadai,20
Otomanguean,20
Nuclear_Torricelli,19
Nilotic,19
Mande,17
Arawakan,16
Pano-Tacanan,15
Timor-Alor-Pantar,15
Turkic,14
Tucanoan,14
Tupian,12
Sko,12
Tungusic,12
Uralic,11
North_Halmahera,11
Athabaskan-Eyak-Tlingit,10
Siouan,9
Surmic,9
Burushaski,9
Dravidian,8
Salishan,8
Tuu,7
Chibchan,7
Sepik,7
Ta-Ne-Omotic,7
Mongolic,7
Khoe-Kwadi,6
Hmong-Mien,6
Angan,6
Nivkh,6
Japonic,6
Yanomamic,6
Nuclear-Macro-Je,5
Sentanic,5
Kadugli-Krongo,5
Huitotoan,5
Cariban,5
Bosavi,5
Chocoan,5
Aymaran,4
Cochimi-Yuman,4
Songhay,4
Guaicuruan,4
Algic,4
Koiarian,4
Mixe-Zoque,4
Tarascan,4
Araucanian,4
Gumuz,3
Barbacoan,3
Muskogean,3
Senagi,3
Maban,3
Kuliak,3
Abkhaz-Adyge,3
Ndu,3
Anson_Bay,3
Tangkic,3
Totonacan,3
Peba-Yagua,3
Uru-Chipaya,3
Kxa,2
Border,2
South_Bougainville,2
Kolopom,2
Lower_Sepik-Ramu,2
Bilua,2
Mailuan,2
Gunwinyguan,2
South_Omotic,2
Keresan,2
Morehead-Wasur,2
Eskimo-Aleut,2
Southern_Daly,2
Western_Daly,2
Saharan,2
Fasu,2
Heibanic,2
Kunama,2
Inanwatan,2
Quechuan,2
Chukotko-Kamchatkan,2
Yukaghir,2
Yeniseian,2
Caddoan,2
Iwaidjan_Proper,2
Miwok-Costanoan,2
Matacoan,2
Chicham,2
Chitimacha,2
Wakashan,2
Maiduan,2
Yokutsan,2
Huavean,2
Paez,2
Nadahup,2
East_Bird_s_Head,2
Cayuvava,1
Dagan,1
Kaki_Ae,1
Anim,1
Kutenai,1
Lakes_Plain,1
Mirndi,1
Misumalpan,1
Northern_Daly,1
Goilalan,1
Tequistlatecan,1
Turama-Kikori,1
Klamath-Modoc,1
Eastern_Trans-Fly,1
Sandawe,1
Dogon,1
Zaparoan,1
Tiwi,1
Chapacuran,1
Katla-Tima,1
Moraori,1
Teberan,1
Katukinan,1
Washo,1
Bunaban,1
Chumashan,1
Nyimang,1
Iroquoian,1
Kiwaian,1
Shabo,1
Duna,1
Tor-Orya,1
Jodi-Saliban,1
Kwomtari-Nai,1
Siamou,1
Kresh-Aja,1
Salinan,1
Fulnio,1
Lavukaleve,1
Savosavo,1
Mangarrayi-Maran,1
Laal,1
Garrwan,1
Rashad,1
Berta,1
Eastern_Jebel,1
Chimariko,1
Dajuic,1
Nara,1
Temeinic,1
Furan,1
Maningrida,1
Abun,1
Basque,1
Pawaia,1
Koreanic,1
Kartvelian,1
Maybrat,1
Bulaka_River,1
Sulka,1
Kuot,1
Hatam-Mansim,1
Yareban,1
Yeli_Dnye,1
Anem,1
Mpur,1
Siuslaw,1
Larrakiyan,1
Worrorran,1
Zuni,1
Alsea,1
Yuchi,1
Tunica,1
Atakapa,1
Tonkawa,1
Kiowa-Tanoan,1
Takelma,1
Chimakuan,1
Sahaptian,1
Tsimshian,1
Coosan,1
Pomoan,1
Seri,1
Karuk,1
Yuki-Wappo,1
Warao,1
Waorani,1
Urarina,1
Cahuapanan,1
Iranxe,1
Kanoe,1
Guato,1
Unclassifiable_kzw,1
Kwaza,1
Mura-Piraha,1
Arawan,1
Moseten-Chimane,1
Chinookan,1
Trumai,1
